created_date,job_title,company,salary,address,link_description,time,job_description
2025-11-15,IT Business Analyst (BA),CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ MOOV,Thoả thuận,Hồ Chí Minh: Phường An Khánh,https://www.topcv.vn/viec-lam/it-business-analyst-ba/1951909.html?ta_source=JobSearchList_LinkDetail,Còn 28 ngày,"We are looking for a skilled IT Business Analyst (BA) to bridge the gap between business needs and technical solutions. The BA will collaborate with stakeholders, gather requirements, analyze business processes, and help ensure that our technology solutions align with company goals. Key Responsibilities: ● Work closely with stakeholders (internal teams, clients, and users) to gather, analyze, and document business and functional requirements. ● Translate business needs into detailed technical specifications for the development team. ● Assist in defining user stories, workflows, and wireframes for product features. ● Collaborate with UI/UX designers to ensure a seamless user experience. ● Work with developers and testers to ensure requirements are properly implemented. ● Participate in sprint planning, backlog grooming, and product roadmap discussions. ● Analyze and improve existing business processes to enhance operational efficiency. ● Develop and maintain documentation including Business Requirement Documents (BRD), Functional Requirement Documents (FRD), and Use Case documents. ● Conduct market research and competitor analysis to inform business strategies. ● Support UAT (User Acceptance Testing) and work with Quality Control (QC) to validate functionality. ● Provide ongoing support and training for internal teams."
2025-11-16,Nhân Viên Kinh Doanh - Xuất Nhập Khẩu Hàng Hóa Nông Sản,CÔNG TY TNHH THƯƠNG MẠI NAMAGRO,9 - 15 triệu,Hồ Chí Minh: Phường An Khánh,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-xuat-nhap-khau-hang-hoa-nong-san/1953486.html?ta_source=JobSearchList_LinkDetail,Còn 28 ngày,"1.	Obtaining offers in the market and updating to the trading team/ Lấy báo giá, chào hàng từ nhà cung cấp/thị trường và cập nhật hàng ngày cho Đội Kinh Doanh 2.	Writing periodic market reports/ Làm báo cáo thị trường định kỳ (tuần, tháng,...) 3.	Obtaining bids from customers and matching them with supply partners/ Tìm kiếm và lấy yêu cầu mua hàng/chào mua hàng từ khách hàng và khớp với chào giá phù hợp từ nhà cung cấp. 4.	Customer acquisition: searching for potential customers, sending company pitch, analyzing customer requirements, etc .../ Tìm kiếm khách hàng mới: Tìm kiếm khách hàng tiềm năng, phù hợp, gửi giới thiệu công ty, phân tích nhu cầu của khách hàng,... 5.	Organizing sending samples and specifications to the potential customers/ Gửi mẫu hàng hoá và các chứng từ chất lượng liên quan tới khách hàng tiềm năng. 6.	Inspection of cargo being shipped to existing customers/ Đi kiểm chất lượng hàng hoá trước khi hàng được đóng và giao tới khách hàng 7.	Coordinating with the logistics department, finance department, quality department, and other functional departments to execute contracts/ Phối hợp với các phòng Logistics, Kế toán tài chính, Chất lượng và các phòng chức năng khác để thực hiện hợp đồng đã ký hiệu quả và thành công. 8.	Maintaining standard operating procedure for customers/ Tuân thủ và thực hiện đúng các quy trình làm việc của công ty với khách hàng 9.	Developing new supply partners, audit their facilities and build relationships/ Tìm và phát triển các nhà cung cấp mới, kiểm tra các cơ sở sản xuất và năng lực kinh doanh của họ, xây dựng quan hệ tốt với họ. 10.	 Finding the opportunities for trade marketing through tradeshows, customer visits, conferences, etc.../ Tìm kiếm các cơ hội để quảng bá kinh doanh thông qua các hội chợ thương mại trong nước và quốc tế, thăm viếng khách hàng, hội nghị,... 11.	Analyzing data on export and import toward forming a view of the market and approaching potential partners/ Phân tích dữ liệu xuất và nhập khẩu để có thể tìm ra những thông tin hữu ích về thị trường, và cơ hội tiếp cận các khách hàng tiềm năng."
2025-11-15,Kế Toán Viên – 2 Nhân Sự,CÔNG TY TNHH NHÀ HÀNG MÈO MẬP,8 - 11 triệu,Hồ Chí Minh: Phường Cầu Ông Lãnh,https://www.topcv.vn/viec-lam/ke-toan-vien-2-nhan-su/1953510.html?ta_source=JobSearchList_LinkDetail,Còn 28 ngày,"· Lập phiếu thu, phiếu chi, ủy nhiệm chi, giấy báo nợ, giấy báo có,… · Thực hiện các giao dịch thanh toán qua ngân hàng hoặc tiền mặt đúng quy trình. · Theo dõi tình hình tồn quỹ và tài khoản ngân hàng của công ty. · Xuất hóa đơn bán hàng. · Nhập liệu hóa đơn đầu ra, đầu vào lên hệ thống. · Quản lý công nợ phải thu, phải trả; đối chiếu công nợ với khách hàng và nhà cung cấp định kỳ. · Kiểm soát nhập – xuất – tồn kho. · Tổng hợp các báo cáo nội bộ định kỳ: doanh thu, chi phí, tồn kho, công nợ. · Lưu trữ chứng từ, sổ sách hành chính và kế toán; phối hợp với kế toán trưởng lập báo cáo tài chính. · Thực hiện các công việc khác theo sự phân công của cấp trên."
2025-11-15,Chuyên Viên Hành Chính Nhân Sự,CÔNG TY TNHH NHÀ HÀNG MÈO MẬP,12 - 15 triệu,Hồ Chí Minh: Phường Cầu Ông Lãnh,https://www.topcv.vn/viec-lam/chuyen-vien-hanh-chinh-nhan-su/1953573.html?ta_source=JobSearchList_LinkDetail,Còn 28 ngày,"Chịu trách nhiệm chấm công, tính lương và chi lương hàng tháng cho CBNV. Thực hiện tuyển dụng: đăng tin, sàng lọc CV, hẹn phỏng vấn, tổ chức phỏng vấn và báo cáo kết quả cho Giám đốc. Hỗ trợ onboarding: tiếp nhận hồ sơ, ký hợp đồng thử việc, thư mời, hướng dẫn nhân viên mới. Cập nhật và triển khai các chính sách nhân sự, nội quy, quy trình làm việc. Thực hiện các thủ tục nhân sự: Quyết định tuyển dụng, nghỉ việc, điều động, kỷ luật, HĐLĐ và các cam kết liên quan. Quản lý & lưu trữ hồ sơ nhân sự, đơn từ, biên bản bàn giao. Theo dõi và tổng hợp báo cáo chấm công từ máy chấm công vân tay. Quản lý văn phòng phẩm, tài sản, trang thiết bị; đảm bảo môi trường làm việc gọn gàng – chuyên nghiệp. Hỗ trợ các hoạt động truyền thông nội bộ, sự kiện công ty. Hỗ trợ tiếp nhận, lưu trữ, chuyển phát chứng từ – hồ sơ nhân viên. Thực hiện các công việc khác theo phân công của cấp trên."
2025-11-15,Nhân Viên Audit Thị Trường,Công Ty TNHH Phân Phối Tiên Tiến,Thoả thuận,Hồ Chí Minh: Phường Tây Thạnh và 2 nơi khác,https://www.topcv.vn/viec-lam/nhan-vien-audit-thi-truong/1952947.html?ta_source=JobSearchList_LinkDetail,Còn 27 ngày,"•	Kiểm tra việc thực hiện và tuân thủ các yêu cầu, chính sách liên quan đến dịch vụ khách hàng. •	Kiểm tra các hoạt động liên quan tới vận hành kho bãi. •	Kiểm tra tính xác thực, hợp lý và hợp lệ các chi phí, thông qua kiểm tra thực tế việc thực hiện các chương trình khuyến mãi của các ngành hàng trong Công ty. •	Lập các báo cáo kết quả công việc theo quy định. •	Thực hiện các công việc khác theo sự phân công, chỉ đạo của cấp trên. •	Báo cáo cho: Giám sát audit nội bộ."
2025-11-15,Nhân Viên Xử Lý Đơn Hàng,Công Ty TNHH Phân Phối Tiên Tiến,Từ 8 triệu,Hồ Chí Minh: Phường Tây Thạnh,https://www.topcv.vn/viec-lam/nhan-vien-xu-ly-don-hang/1952959.html?ta_source=JobSearchList_LinkDetail,,
2025-11-15,"Giám Đốc Sale - Marketing B2B (Mảng Coworking Space) / Từ 3 Năm Kinh Nghiệm / Quận 1, HCM",CÔNG TY CỔ PHẦN LOYALTY WORLD X TINI,Thoả thuận,Hồ Chí Minh: Phường Cầu Ông Lãnh,https://www.topcv.vn/viec-lam/giam-doc-sale-marketing-b2b-mang-coworking-space-tu-3-nam-kinh-nghiem-quan-1-hcm/1952561.html?ta_source=JobSearchList_LinkDetail,Còn 27 ngày,"- Xây dựng & triển khai chiến lược Sales – Marketing theo từng quý/năm. - Quản lý đội ngũ Sales: tuyển dụng – đào tạo – đặt KPI – giám sát hiệu quả. - Phát triển tệp khách hàng B2B/B2C: SME, startup, freelancer, đối tác môi giới. - Thiết kế gói sản phẩm: Hotdesk, Dedicated desk, Private Office, Meeting Room... - Quản lý các chiến dịch Digital/Offline, tối ưu chi phí & hiệu quả (CAC, ROI). - Tổ chức sự kiện cộng đồng: Workshop, Networking, Open House. - Phối hợp vận hành để đảm bảo tour khách & trải nghiệm dịch vụ tốt nhất."
2025-11-15,Sale Admin – CSKH (Đối Soát & Hỗ Trợ Kinh Doanh),CÔNG TY TNHH NHÀ HÀNG MÈO MẬP,12 - 15 triệu,Hồ Chí Minh: Phường Cầu Ông Lãnh,https://www.topcv.vn/viec-lam/sale-admin-cskh-doi-soat-ho-tro-kinh-doanh/1953600.html?ta_source=JobSearchList_LinkDetail,Còn 28 ngày,"1. Đối soát & thanh toán Xuất dữ liệu đơn hàng phục vụ việc đối soát. Lập bộ hồ sơ: biên bản đối soát, báo cáo doanh thu, danh sách đơn hàng. Gửi hồ sơ cho đối tác, theo dõi phản hồi và xác nhận. Tiếp nhận và lưu hóa đơn VAT. Chuẩn bị chứng từ thanh toán. Phối hợp với kế toán trong quá trình thanh toán. Lưu trữ chứng từ khoa học, dễ tra cứu. 2. Quản lý hợp đồng & đối tác Theo dõi danh sách điểm đặt và hợp đồng. Quản lý quá trình ký mới, gia hạn, chấm dứt. Gửi đề xuất hợp tác và cập nhật quyền lợi cho đối tác. Hỗ trợ các yêu cầu phát sinh từ điểm đặt. 3. Thiết bị & kế hoạch vận hành Theo dõi tình trạng hoạt động của thiết bị. Lập lịch kiểm tra định kỳ, chăm sóc điểm đặt. Phân công công việc cho nhân viên vận hành. Phối hợp xử lý sự cố hoặc thay đổi vị trí thiết bị. 4. Tổng hợp & báo cáo dữ liệu Tổng hợp số liệu doanh thu. Đối chiếu dữ liệu với bộ phận liên quan. Báo cáo tình trạng đối soát và các hồ sơ còn tồn. 5. Chăm sóc khách hàng Tiếp nhận và phản hồi thắc mắc qua các kênh liên lạc. Hướng dẫn khách hàng về cách sử dụng dịch vụ. Chuyển thông tin hợp tác mới cho bộ phận kinh doanh. Ghi nhận vấn đề và báo cáo kịp thời. Xử lý linh hoạt các yêu cầu khẩn. 6. Phối hợp nội bộ Làm việc với kế toán về đối soát và thanh toán. Phối hợp với vận hành trong xử lý thiết bị và điểm đặt. Hỗ trợ tổng hợp báo cáo cho trưởng bộ phận."
2025-11-14,Marketing Manager,The Vibes,18 - 25 triệu,Hồ Chí Minh: Phường Bình Trưng,https://www.topcv.vn/viec-lam/marketing-manager/1951441.html?ta_source=JobSearchList_LinkDetail,,
2025-11-14,Trưởng Nhóm Điều Hành Xe/ Điều Phối Xe (Đầu Kéo/ Vận Tải) - Lương Cứng 13-17 Triệu + Thưởng - Đi Làm...,CÔNG TY TNHH GIAO NHẬN VẬN CHUYỂN ĐƯỜNG SẮT HÀ NỘI RATRACO,13 - 17 triệu,Hồ Chí Minh: Phường Bình Dương,https://www.topcv.vn/viec-lam/truong-nhom-dieu-hanh-xe-dieu-phoi-xe-dau-keo-van-tai-luong-cung-13-17-trieu-thuong-di-lam-ngay/1951794.html?ta_source=JobSearchList_LinkDetail,,
